"Heading","CUI","Semantic Type", "Preferred Name"
"Administration of these agents with levothyroxine results in an initial transient increase in FT4.","C0001554|C1533734|C0450442|C1254351|C1521826|C0040165|C1274040|C1546471|C2825142|C1881373|C0205265|C0040704|C0442805|C0205374|C1279901|C1555582|C1705685","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial Usage"
"Administration of these agents with levothyroxine results in an initial transient increase in FT4.","C0001554|C1533734|C0450442|C1254351|C1521826|C0040165|C1274040|C1546471|C2825142|C1881373|C0205265|C0040704|C0442805|C0205374|C1279901|C1555582|C1705685","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial Usage""Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid.","C0549178|C0001554|C1533734|C1274040|C1546471|C2825142|C0392756|C0547047|C0036833|C0205307|C0439166|C2347086|C0086045|C0030705|C0117002","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn][idcn]|[ocac]|[topp]|[ftcn]|[idcn]|[fndg]|[qlco]|[qnco]|[lbpr]|[qlco]|[qnco]|[qnco]|[menp]|[podg]|[fndg]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial UsageContinuous|Administration occupational activities|Administration procedure|Result|What subject filter - Result|Experimental Result|Reduced|Decrease|serum t4|Normal|Percent normal|Mean Percent of Normal|Mental concentration|Patients|Euthyroid (finding)"
"Administration of these agents with levothyroxine results in an initial transient increase in FT4.","C0001554|C1533734|C0450442|C1254351|C1521826|C0040165|C1274040|C1546471|C2825142|C1881373|C0205265|C0040704|C0442805|C0205374|C1279901|C1555582|C1705685","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial Usage""Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid.","C0549178|C0001554|C1533734|C1274040|C1546471|C2825142|C0392756|C0547047|C0036833|C0205307|C0439166|C2347086|C0086045|C0030705|C0117002","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn][idcn]|[ocac]|[topp]|[ftcn]|[idcn]|[fndg]|[qlco]|[qnco]|[lbpr]|[qlco]|[qnco]|[qnco]|[menp]|[podg]|[fndg]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial UsageContinuous|Administration occupational activities|Administration procedure|Result|What subject filter - Result|Experimental Result|Reduced|Decrease|serum t4|Normal|Percent normal|Mean Percent of Normal|Mental concentration|Patients|Euthyroid (finding)""Salicylates inhibit binding of T4 and T3 to TBG and transthyretin.An initial increase in serum FT4 is followed by return of FT4 to normal levels with sustained therapeutic serum salicylate concentrations, although total-T4 levels may decrease by as much as 30%.","C0036077|C0018790|C0028778|C0233660|C0237477|C0332206|C0392351|C0521111|C1533157|C1706084|C2828370|C3811660|C1145667|C1167622|C3814864|C0032923|C0337441|C1421224|C0205265|C0442805|C1279901|C1555582|C1705685|C0229671|C1546774|C1550100|C0332283|C0332156|C0205307|C0441889|C0439166|C2347086|C0443318|C0087111|C0683149|C0036075|C0302350|C1281902|C0392756|C0547047|C0205393|C3842588","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn][idcn]|[ocac]|[topp]|[ftcn]|[idcn]|[fndg]|[qlco]|[qnco]|[lbpr]|[qlco]|[qnco]|[qnco]|[menp]|[podg]|[fndg][orch, phsu]|[dsyn]|[patf]|[mobd]|[tmco]|[ftcn]|[gora]|[qlco]|[sbst]|[geoa]|[qnco]|[qnco]|[acty]|[moft]|[gngm]|[aapp, bacs]|[lbpr]|[gngm]|[tmco]|[ftcn]|[qlco]|[idcn]|[ftcn]|[bdsu]|[inpr]|[bdsu]|[tmco]|[qlco]|[qlco]|[qlco]|[qnco]|[qnco]|[ftcn]|[topp]|[qnco]|[orch, phsu]|[ftcn]|[lbpr]|[qlco]|[qnco]|[qnco]|[fndg]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial UsageContinuous|Administration occupational activities|Administration procedure|Result|What subject filter - Result|Experimental Result|Reduced|Decrease|serum t4|Normal|Percent normal|Mean Percent of Normal|Mental concentration|Patients|Euthyroid (finding)Salicylates|Cardiac Arrest|Obstruction|Mental blocking|Arrested progression|Blocking|Law enforcement arrest|Retarded|Block Specimens|(City) Block|Block (unit of measure)|Block Unit of Distance|Binding action|Binding (Molecular Function)|SERPINA7 wt Allele|Prealbumin|Prealbumin measurement|TTR gene|Initially|Increase|Firstly|Initial (abbreviation)|Initial Usage|Serum|Specimen Source Codes - Serum|Specimen Type - Serum|Followed by|Return to (contextual qualifier) (qualifier value)|Normal|Levels (qualifier value)|Percent normal|Mean Percent of Normal|Sustained|Therapeutic procedure|serum concentration|salicylate|Therapeutic|Total Thyroxine Measurement|Reduced|Decrease|Most|30%"
"Administration of these agents with levothyroxine results in an initial transient increase in FT4. ","C0001554|C1533734|C0450442|C1254351|C1521826|C0040165|C1274040|C1546471|C2825142|C1881373|C0205265|C0040704|C0442805|C0205374|C1279901|C1555582|C1705685","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial Usage"
"Administration of these agents with levothyroxine results in an initial transient increase in FT4. ","C0001554|C1533734|C0450442|C1254351|C1521826|C0040165|C1274040|C1546471|C2825142|C1881373|C0205265|C0040704|C0442805|C0205374|C1279901|C1555582|C1705685","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial Usage""Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid. ","C0549178|C0001554|C1533734|C1274040|C1546471|C2825142|C0392756|C0547047|C0036833|C0205307|C0439166|C2347086|C0086045|C0030705|C0117002","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn][idcn]|[ocac]|[topp]|[ftcn]|[idcn]|[fndg]|[qlco]|[qnco]|[lbpr]|[qlco]|[qnco]|[qnco]|[menp]|[podg]|[fndg]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial UsageContinuous|Administration occupational activities|Administration procedure|Result|What subject filter - Result|Experimental Result|Reduced|Decrease|serum t4|Normal|Percent normal|Mean Percent of Normal|Mental concentration|Patients|Euthyroid (finding)"
"Administration of these agents with levothyroxine results in an initial transient increase in FT4. ","C0001554|C1533734|C0450442|C1254351|C1521826|C0040165|C1274040|C1546471|C2825142|C1881373|C0205265|C0040704|C0442805|C0205374|C1279901|C1555582|C1705685","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial Usage""Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid. ","C0549178|C0001554|C1533734|C1274040|C1546471|C2825142|C0392756|C0547047|C0036833|C0205307|C0439166|C2347086|C0086045|C0030705|C0117002","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn][idcn]|[ocac]|[topp]|[ftcn]|[idcn]|[fndg]|[qlco]|[qnco]|[lbpr]|[qlco]|[qnco]|[qnco]|[menp]|[podg]|[fndg]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial UsageContinuous|Administration occupational activities|Administration procedure|Result|What subject filter - Result|Experimental Result|Reduced|Decrease|serum t4|Normal|Percent normal|Mean Percent of Normal|Mental concentration|Patients|Euthyroid (finding)""Salicylates inhibit binding of T4 and T3 to TBG and transthyretin. ","C0036077|C0018790|C0028778|C0233660|C0237477|C0332206|C0392351|C0521111|C1533157|C1706084|C2828370|C3811660|C1145667|C1167622|C3814864|C0032923|C0337441|C1421224","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn][idcn]|[ocac]|[topp]|[ftcn]|[idcn]|[fndg]|[qlco]|[qnco]|[lbpr]|[qlco]|[qnco]|[qnco]|[menp]|[podg]|[fndg][orch, phsu]|[dsyn]|[patf]|[mobd]|[tmco]|[ftcn]|[gora]|[qlco]|[sbst]|[geoa]|[qnco]|[qnco]|[acty]|[moft]|[gngm]|[aapp, bacs]|[lbpr]|[gngm]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial UsageContinuous|Administration occupational activities|Administration procedure|Result|What subject filter - Result|Experimental Result|Reduced|Decrease|serum t4|Normal|Percent normal|Mean Percent of Normal|Mental concentration|Patients|Euthyroid (finding)Salicylates|Cardiac Arrest|Obstruction|Mental blocking|Arrested progression|Blocking|Law enforcement arrest|Retarded|Block Specimens|(City) Block|Block (unit of measure)|Block Unit of Distance|Binding action|Binding (Molecular Function)|SERPINA7 wt Allele|Prealbumin|Prealbumin measurement|TTR gene"
"Administration of these agents with levothyroxine results in an initial transient increase in FT4. ","C0001554|C1533734|C0450442|C1254351|C1521826|C0040165|C1274040|C1546471|C2825142|C1881373|C0205265|C0040704|C0442805|C0205374|C1279901|C1555582|C1705685","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial Usage""Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid. ","C0549178|C0001554|C1533734|C1274040|C1546471|C2825142|C0392756|C0547047|C0036833|C0205307|C0439166|C2347086|C0086045|C0030705|C0117002","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn][idcn]|[ocac]|[topp]|[ftcn]|[idcn]|[fndg]|[qlco]|[qnco]|[lbpr]|[qlco]|[qnco]|[qnco]|[menp]|[podg]|[fndg]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial UsageContinuous|Administration occupational activities|Administration procedure|Result|What subject filter - Result|Experimental Result|Reduced|Decrease|serum t4|Normal|Percent normal|Mean Percent of Normal|Mental concentration|Patients|Euthyroid (finding)""Salicylates inhibit binding of T4 and T3 to TBG and transthyretin. ","C0036077|C0018790|C0028778|C0233660|C0237477|C0332206|C0392351|C0521111|C1533157|C1706084|C2828370|C3811660|C1145667|C1167622|C3814864|C0032923|C0337441|C1421224","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn][idcn]|[ocac]|[topp]|[ftcn]|[idcn]|[fndg]|[qlco]|[qnco]|[lbpr]|[qlco]|[qnco]|[qnco]|[menp]|[podg]|[fndg][orch, phsu]|[dsyn]|[patf]|[mobd]|[tmco]|[ftcn]|[gora]|[qlco]|[sbst]|[geoa]|[qnco]|[qnco]|[acty]|[moft]|[gngm]|[aapp, bacs]|[lbpr]|[gngm]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial UsageContinuous|Administration occupational activities|Administration procedure|Result|What subject filter - Result|Experimental Result|Reduced|Decrease|serum t4|Normal|Percent normal|Mean Percent of Normal|Mental concentration|Patients|Euthyroid (finding)Salicylates|Cardiac Arrest|Obstruction|Mental blocking|Arrested progression|Blocking|Law enforcement arrest|Retarded|Block Specimens|(City) Block|Block (unit of measure)|Block Unit of Distance|Binding action|Binding (Molecular Function)|SERPINA7 wt Allele|Prealbumin|Prealbumin measurement|TTR gene""An initial increase in serum FT4, is followed by return of FT4 to normal levels with sustained therapeutic serum salicylate concentrations, although total-T4 levels may decrease by as much as 30%.","C0205265|C0442805|C1279901|C1555582|C1705685|C0229671|C1546774|C1550100|C0332283|C0332156|C0205307|C0441889|C0439166|C2347086|C0443318|C0087111|C0683149|C0036075|C0036077|C0302350|C1281902|C0392756|C0547047|C0205393|C3842588","[ocac]|[topp]|[chvf]|[phsu]|[inpr]|[aapp, horm, phsu]|[ftcn]|[idcn]|[fndg]|[orch, phsu]|[tmco]|[popg]|[ftcn]|[tmco]|[qlco]|[idcn]|[ftcn][idcn]|[ocac]|[topp]|[ftcn]|[idcn]|[fndg]|[qlco]|[qnco]|[lbpr]|[qlco]|[qnco]|[qnco]|[menp]|[podg]|[fndg][orch, phsu]|[dsyn]|[patf]|[mobd]|[tmco]|[ftcn]|[gora]|[qlco]|[sbst]|[geoa]|[qnco]|[qnco]|[acty]|[moft]|[gngm]|[aapp, bacs]|[lbpr]|[gngm][tmco]|[ftcn]|[qlco]|[idcn]|[ftcn]|[bdsu]|[inpr]|[bdsu]|[tmco]|[qlco]|[qlco]|[qlco]|[qnco]|[qnco]|[ftcn]|[topp]|[qnco]|[orch, phsu]|[orch, phsu]|[ftcn]|[lbpr]|[qlco]|[qnco]|[qnco]|[fndg]","Administration occupational activities|Administration procedure|Agent|Pharmacologic Substance|Protocol Agent|Thyroxine|Result|What subject filter - Result|Experimental Result|Synthetic Levothyroxine|Initially|Transient Population Group|Increase|Transitory|Firstly|Initial (abbreviation)|Initial UsageContinuous|Administration occupational activities|Administration procedure|Result|What subject filter - Result|Experimental Result|Reduced|Decrease|serum t4|Normal|Percent normal|Mean Percent of Normal|Mental concentration|Patients|Euthyroid (finding)Salicylates|Cardiac Arrest|Obstruction|Mental blocking|Arrested progression|Blocking|Law enforcement arrest|Retarded|Block Specimens|(City) Block|Block (unit of measure)|Block Unit of Distance|Binding action|Binding (Molecular Function)|SERPINA7 wt Allele|Prealbumin|Prealbumin measurement|TTR geneInitially|Increase|Firstly|Initial (abbreviation)|Initial Usage|Serum|Specimen Source Codes - Serum|Specimen Type - Serum|Followed by|Return to (contextual qualifier) (qualifier value)|Normal|Levels (qualifier value)|Percent normal|Mean Percent of Normal|Sustained|Therapeutic procedure|serum concentration|salicylate|Salicylates|Therapeutic|Total Thyroxine Measurement|Reduced|Decrease|Most|30%"
"Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, leading to decreased T3 levels. ","C0001554|C1533734|C0014432|C1152555|C2756995|C0392756|C0547047|C0205100|C0439836|C0332152|C1522538|C0205216|C0446421|C0442797","[ocac]|[topp]|[phsu]|[moft]|[moft]|[qlco]|[qnco]|[spco]|[ftcn]|[tmco]|[ftcn]|[qnco]|[blor]|[qlco]","Administration occupational activities|Administration procedure|Enzyme Inhibitors|enzyme inhibitor activity|Enzyme Inhibitors [MoA]|Reduced|Decrease|Peripheral|Conversions|Before|Leading|Decreased|Level of the third thoracic vertebra|Decreasing"
"Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, leading to decreased T3 levels. ","C0001554|C1533734|C0014432|C1152555|C2756995|C0392756|C0547047|C0205100|C0439836|C0332152|C1522538|C0205216|C0446421|C0442797","[ocac]|[topp]|[phsu]|[moft]|[moft]|[qlco]|[qnco]|[spco]|[ftcn]|[tmco]|[ftcn]|[qnco]|[blor]|[qlco]","Administration occupational activities|Administration procedure|Enzyme Inhibitors|enzyme inhibitor activity|Enzyme Inhibitors [MoA]|Reduced|Decrease|Peripheral|Conversions|Before|Leading|Decreased|Level of the third thoracic vertebra|Decreasing""However, serum T4 levels are usually normal but may occasionally be slightly increased. ","C0428417|C3538928|C0205307|C0439166|C2347086|C3888388|C1998882|C0750482|C2937276|C0205217|C0442805","[ocac]|[topp]|[phsu]|[moft]|[moft]|[qlco]|[qnco]|[spco]|[ftcn]|[tmco]|[ftcn]|[qnco]|[blor]|[qlco][lbpr]|[qlco]|[qlco]|[qnco]|[qnco]|[inpr]|[tmco]|[qlco]|[qlco]|[qnco]|[ftcn]","Administration occupational activities|Administration procedure|Enzyme Inhibitors|enzyme inhibitor activity|Enzyme Inhibitors [MoA]|Reduced|Decrease|Peripheral|Conversions|Before|Leading|Decreased|Level of the third thoracic vertebra|DecreasingSerum T4 measurement|Usual|Normal|Percent normal|Mean Percent of Normal|Usually|Sometimes|Slightly (qualifier value)|Slight (qualifier value)|Increased|Increase"
"Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, leading to decreased T3 levels. ","C0001554|C1533734|C0014432|C1152555|C2756995|C0392756|C0547047|C0205100|C0439836|C0332152|C1522538|C0205216|C0446421|C0442797","[ocac]|[topp]|[phsu]|[moft]|[moft]|[qlco]|[qnco]|[spco]|[ftcn]|[tmco]|[ftcn]|[qnco]|[blor]|[qlco]","Administration occupational activities|Administration procedure|Enzyme Inhibitors|enzyme inhibitor activity|Enzyme Inhibitors [MoA]|Reduced|Decrease|Peripheral|Conversions|Before|Leading|Decreased|Level of the third thoracic vertebra|Decreasing""However, serum T4 levels are usually normal but may occasionally be slightly increased. ","C0428417|C3538928|C0205307|C0439166|C2347086|C3888388|C1998882|C0750482|C2937276|C0205217|C0442805","[ocac]|[topp]|[phsu]|[moft]|[moft]|[qlco]|[qnco]|[spco]|[ftcn]|[tmco]|[ftcn]|[qnco]|[blor]|[qlco][lbpr]|[qlco]|[qlco]|[qnco]|[qnco]|[inpr]|[tmco]|[qlco]|[qlco]|[qnco]|[ftcn]","Administration occupational activities|Administration procedure|Enzyme Inhibitors|enzyme inhibitor activity|Enzyme Inhibitors [MoA]|Reduced|Decrease|Peripheral|Conversions|Before|Leading|Decreased|Level of the third thoracic vertebra|DecreasingSerum T4 measurement|Usual|Normal|Percent normal|Mean Percent of Normal|Usually|Sometimes|Slightly (qualifier value)|Slight (qualifier value)|Increased|Increase""In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. ","C0030705|C1522326|C0549177|C0178602|C0033497|C0439422|C0505385|C0392747|C0443172|C1705241|C0750482|C2937276|C0202230|C0205307|C0439166|C2347086|C0117002","[ocac]|[topp]|[phsu]|[moft]|[moft]|[qlco]|[qnco]|[spco]|[ftcn]|[tmco]|[ftcn]|[qnco]|[blor]|[qlco][lbpr]|[qlco]|[qlco]|[qnco]|[qnco]|[inpr]|[tmco]|[qlco]|[qlco]|[qnco]|[ftcn][podg]|[ftcn]|[qnco]|[qnco]|[orch, phsu]|[qnco]|[blor]|[ftcn]|[qnco]|[qnco]|[qlco]|[qlco]|[lbpr]|[qlco]|[qnco]|[qnco]|[fndg]","Administration occupational activities|Administration procedure|Enzyme Inhibitors|enzyme inhibitor activity|Enzyme Inhibitors [MoA]|Reduced|Decrease|Peripheral|Conversions|Before|Leading|Decreased|Level of the third thoracic vertebra|DecreasingSerum T4 measurement|Usual|Normal|Percent normal|Mean Percent of Normal|Usually|Sometimes|Slightly (qualifier value)|Slight (qualifier value)|Increased|IncreasePatients|Treating|Large|Dosage|Propranolol|milligram/day|Level of the fourth thoracic vertebra|Changing|Changed status|Delta (difference)|Slightly (qualifier value)|Slight (qualifier value)|Thyroid stimulating hormone measurement|Normal|Percent normal|Mean Percent of Normal|Euthyroid (finding)"
