'headings','words','POStags' 
'Risperidone','Risperidone','NN'
'Table 2: Drug  Thyroidal Axis Interactions','Table|2|:|Drug|Thyroidal|Axis|Interactions','JJ|CD|:|NNP|NNP|NNP|NNP'
'Table 2: Drug-Thyroidal Axis Interactions','Table|2|:|Drug-Thyroidal|Axis|Interactions','JJ|CD|:|JJ|NN|NNS'
"'Table III. Clinically\significant drug interactions with\theophylline.\Refer to PRECAUTIONS, Drug Interactions for\further information regarding table.'","'Table|III.|Clinically\significant|drug|interactions|with|heophylline.\Refer|to|PRECAUTIONS|,|Drug|Interactions|for|urther|information|regarding|table|.'","'JJ|NNP|JJ|NN|NNS|IN|NN|TO|NNS|,|NNP|NNP|IN|JJ|NN|VBG|NN|.'"
"'Table IV. Drugs that have\been documented not to interact with theophylline\or drugs that produce no clinically significant\interaction with theophylline.\Refer to PRECAUTIONS, Drug Interactions for\information regarding table.'","'Table|IV.|Drugs|that|haveeen|documented|not|to|interact|with|theophylline\or|drugs|that|produce|no|clinically|significant\interaction|with|theophylline.\Refer|to|PRECAUTIONS|,|Drug|Interactions|for\information|regarding|table|.'","'JJ|NNP|NNP|WDT|VBP|VBN|RB|TO|VB|IN|NN|NNS|WDT|VBP|DT|RB|NN|IN|NN|TO|NNS|,|NNP|NNP|NN|VBG|NN|.'"
'Use of these agents may result in a transient reduction in TSH secretion when administered at the following doses: dopamine ( ? 1 mcg/kg/min); Glucocorticoids (hydrocortisone ? 100 mg/day or equivalent); Octreotide ( > 100 mcg/day).','Use|of|these|agents|may|result|in|a|transient|reduction|in|TSH|secretion|when|administered|at|the|following|doses|:|dopamine|(|?|1|mcg/kg/min|)|;|Glucocorticoids|(|hydrocortisone|?|100|mg/day|or|equivalent|)|;|Octreotide|(|>|100|mcg/day|)|.','NN|IN|DT|NNS|MD|VB|IN|DT|JJ|NN|IN|NN|NN|WRB|VBN|IN|DT|VBG|NNS|:|NN|(|.|CD|NN|)|:|NNS|(|NN|.|CD|NN|CC|JJ|)|:|NN|(|SYM|CD|NN|)|.'
"'The concomitant use of ADDYI with alcohol increased the risk of hypotension, syncope, and CNS depression compared to the use of ADDYI alone or alcohol alone [see Warnings and Precautions (5.1) and Clinical Pharmacology (12.2)].'","'The|concomitant|use|of|ADDYI|with|alcohol|increased|the|risk|of|hypotension|,|syncope|,|and|CNS|depression|compared|to|the|use|of|ADDYI|alone|or|alcohol|alone|[|see|Warnings|and|Precautions|(|5.1|)|and|Clinical|Pharmacology|(|12.2|)|]|.'","'DT|JJ|NN|IN|NN|IN|NN|VBD|DT|NN|IN|NN|,|NN|,|CC|NN|NN|VBN|TO|DT|NN|IN|NN|RB|CC|NN|RB|(|VB|NNS|CC|NNS|(|CD|)|CC|JJ|NN|(|CD|)|)|.'"
'* The interaction between nevirapine and the drug was evaluated in a clinical study. All other drug interactions shown are predicted.','*|The|interaction|between|nevirapine|and|the|drug|was|evaluated|in|a|clinical|study.|All|other|drug|interactions|shown|are|predicted|.','SYM|DT|NN|IN|NN|CC|DT|NN|VBD|VBN|IN|DT|JJ|NN|DT|JJ|NN|NNS|VBN|VBP|VBN|.'
'-','-','HYPH'
'Analgesics:\Methadone* ','Analgesics|:|\Methadone*','NNS|:|NN'
"'Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products)'","'Antacids|,|Sucralfate|,|Multivitamins|and|Other|Products|Containing|Multivalent|Cations|(|magnesium/aluminum|antacids|;|polymeric|phosphate|binders|(|for|example|,|sevelamer|,|lanthanum|carbonate|)|;|sucralfate|;|Videx|(|didanosine|)|chewable/buffered|tablets|or|pediatric|powder|;|other|highly|buffered|drugs|;|or|products|containing|calcium|,|iron|,|or|zinc|and|dairy|products|)'","'NNS|,|NNP|,|NNP|CC|NNP|NNP|NNP|JJ|NNS|(|NN|NNS|:|JJ|NN|NNS|(|IN|NN|,|NN|,|NN|NN|)|:|NN|:|NN|(|NN|)|VBD|NNS|CC|JJ|NN|:|JJ|RB|VBN|NNS|:|CC|NNS|VBG|NN|,|NN|,|CC|NN|CC|NN|NNS|)'"
"'Antiarrhythmics:\Amiodarone, disopyramide,lidocaine '","'Antiarrhythmics|:|\Amiodarone|,|disopyramide|,|lidocaine'","'NNS|:|NN|,|NN|,|NN'"
'Antibiotics:\Clarithromycin*','Antibiotics|:|\Clarithromycin*','NNS|:|NN'
'AUCSS(012h)(Extent of systemic \exposure)','AUCSS|(|012h|)|(|Extent|of|systemic|\exposure|)','NN|(|NN|)|(|NN|IN|JJ|NN|)'
'Avoid Use\(Plasma Exposure Likely to be Increased and Prolonged)','Avoid|Use\|(|Plasma|Exposure|Likely|to|be|Increased|and|Prolonged|)','JJ|NN|(|NN|NN|RB|TO|VB|VBN|CC|VBN|)'
'Avoid Use\Five-fold increase in duloxetine exposure','Avoid|Use\Five-fold|increase|in|duloxetine|exposure','JJ|JJ|NN|IN|NN|NN'
'Careful monitoring of clozapine associated adverse reactions and appropriate adjustment of clozapine dosage during and shortly after co-administration with CIPRO XR are advised.','Careful|monitoring|of|clozapine|associated|adverse|reactions|and|appropriate|adjustment|of|clozapine|dosage|during|and|shortly|after|co-administration|with|CIPRO|XR|are|advised|.','JJ|NN|IN|NN|VBN|JJ|NNS|CC|JJ|NN|IN|NN|NN|IN|CC|RB|IN|NN|IN|NN|NN|VBP|VBN|.'
'CIPRO XR inhibits the formation of paraxanthine after caffeine administration (or pentoxifylline containing products). Monitor for xanthine toxicity and adjust dose as necessary.','CIPRO|XR|inhibits|the|formation|of|paraxanthine|after|caffeine|administration|(|or|pentoxifylline|containing|products|)|.|Monitor|for|xanthine|toxicity|and|adjust|dose|as|necessary|.','NN|NN|VBZ|DT|NN|IN|NN|IN|NN|NN|(|CC|NN|VBG|NNS|)|.|NN|IN|NN|NN|CC|JJ|NN|IN|JJ|.'
"'Cipro XR may further prolong the QT interval in patients receiving drugs known to prolong the QT interval (for example, class IA or III antiarrhythmics, tricyclic antidepressants, macrolides, antipsychotics) [see Warnings and Precautions (5.10) and Use in Specific Populations (8.5)].'","'Cipro|XR|may|further|prolong|the|QT|interval|in|patients|receiving|drugs|known|to|prolong|the|QT|interval|(|for|example|,|class|IA|or|III|antiarrhythmics|,|tricyclic|antidepressants|,|macrolides|,|antipsychotics|)|[|see|Warnings|and|Precautions|(|5.10|)|and|Use|in|Specific|Populations|(|8.5|)|]|.'","'NN|NN|MD|RB|VB|DT|NN|NN|IN|NNS|VBG|NNS|VBN|TO|VB|DT|NN|NN|(|IN|NN|,|NN|NN|CC|CD|NNS|,|JJ|NNS|,|NNS|,|NNS|)|(|VB|NNS|CC|NNS|(|CD|)|CC|NN|IN|JJ|NNS|(|CD|)|)|.'"
'CIPRO XR should be taken at least two hours before or six hours after Multivalent cation-containing products administration. [See Dosage and Administration (2).]','CIPRO|XR|should|be|taken|at|least|two|hours|before|or|six|hours|after|Multivalent|cation-containing|products|administration.|[|See|Dosage|and|Administration|(|2|)|.|]','NN|NN|MD|VB|VBN|IN|JJS|CD|NNS|IN|CC|CD|NNS|IN|JJ|JJ|NNS|NN|(|NNP|NNP|CC|NNP|(|CD|)|.|)'
'Concomitant administration of tizanidine and CIPRO XR is contraindicated due to the potentiation of hypotensive and sedative effects of tizanidine [see Contraindications (4.2)].','Concomitant|administration|of|tizanidine|and|CIPRO|XR|is|contraindicated|due|to|the|potentiation|of|hypotensive|and|sedative|effects|of|tizanidine|[|see|Contraindications|(|4.2|)|]|.','JJ|NN|IN|NN|CC|NN|NN|VBZ|VBN|IN|TO|DT|NN|IN|JJ|CC|JJ|NNS|IN|NN|(|VB|NNS|(|CD|)|)|.'
"'Concurrent administration of CIPRO XR with theophylline may result in increased risk of a patient developing central nervous system (CNS) or other adverse reactions. If concomitant use cannot be avoided, monitor serum levels of theophylline and adjust dosage as appropriate. [See Warnings and Precautions (5.6).]'","'Concurrent|administration|of|CIPRO|XR|with|theophylline|may|result|in|increased|risk|of|a|patient|developing|central|nervous|system|(|CNS|)|or|other|adverse|reactions.|If|concomitant|use|can|not|be|avoided|,|monitor|serum|levels|of|theophylline|and|adjust|dosage|as|appropriate.|[|See|Warnings|and|Precautions|(|5.6|)|.|]'","'JJ|NN|IN|NN|NN|IN|NN|MD|VB|IN|VBN|NN|IN|DT|NN|VBG|JJ|JJ|NN|(|NN|)|CC|JJ|JJ|NN|IN|JJ|NN|MD|RB|VB|VBN|,|NN|NN|NNS|IN|NN|CC|JJ|NN|IN|NN|(|NN|NNS|CC|NNS|(|CD|)|.|)'"
"'Decrease CIPRO XR absorption, resulting in lower serum and urine levels considerably lower than desired for concurrent administration of these agents with CIPRO XR'","'Decrease|CIPRO|XR|absorption|,|resulting|in|lower|serum|and|urine|levels|considerably|lower|than|desired|for|concurrent|administration|of|these|agents|with|CIPRO|XR'","'NN|NN|NN|NN|,|VBG|IN|JJR|NN|CC|NN|NNS|RB|JJR|IN|VBN|IN|JJ|NN|IN|DT|NNS|IN|NN|NN'"
'DigoxinEnalaprilIronMetoprololWarfarin','DigoxinEnalaprilIronMetoprololWarfarin','NNP'
'Dosing Recommendations\Take at least 2 hours before or 6 hours after sevelamerTake at least 2 hours before sevelamer','Dosing|Recommendations\Take|at|least|2|hours|before|or|6|hours|after|sevelamerTake|at|least|2|hours|before|sevelamer','VBG|NNP|IN|JJS|CD|NNS|IN|CC|CD|NNS|IN|NN|IN|JJS|CD|NNS|IN|NN'
"'Hypoglycemia sometimes severe has been reported when CIPRO XR and oral antidiabetic agents, mainly sulfonylureas (for example, glyburide, glimepiride), were co-administered, presumably by intensifying the action of the oral antidiabetic agent. Fatalities have been reported. Monitor blood glucose when CIPRO XR is co-administered with oral antidiabetic drugs. [See Adverse Reactions (6.1).]'","'Hypoglycemia|sometimes|severe|has|been|reported|when|CIPRO|XR|and|oral|antidiabetic|agents|,|mainly|sulfonylureas|(|for|example|,|glyburide|,|glimepiride|)|,|were|co-administered|,|presumably|by|intensifying|the|action|of|the|oral|antidiabetic|agent.|Fatalities|have|been|reported.|Monitor|blood|glucose|when|CIPRO|XR|is|co-administered|with|oral|antidiabetic|drugs.|[|See|Adverse|Reactions|(|6.1|)|.|]'","'NN|RB|JJ|VBZ|VBN|VBN|WRB|NN|NN|CC|JJ|JJ|NNS|,|RB|NNS|(|IN|NN|,|NN|,|NN|)|,|VBD|VBN|,|RB|IN|VBG|DT|NN|IN|DT|JJ|JJ|NN|NNS|VBP|VBN|VBN|NNP|NN|NN|WRB|NN|NN|VBZ|VBN|IN|JJ|JJ|NN|(|NN|JJ|NNS|(|CD|)|.|)'"
'I.Due to the competition of salicylate with other drugs for binding to serum albumin the following drug interactions may occur:','I.Due|to|the|competition|of|salicylate|with|other|drugs|for|binding|to|serum|albumin|the|following|drug|interactions|may|occur|:','NN|TO|DT|NN|IN|NN|IN|JJ|NNS|IN|VBG|TO|NN|IN|DT|VBG|NN|NNS|MD|VB|:'
"'If unavoidable monitor, for duloxetine toxicity '","'If|unavoidable|monitor|,|for|duloxetine|toxicity'","'IN|JJ|NN|,|IN|NN|NN'"
'Monitor for sildenafil toxicity [see Pharmacokinetics (12.3\)].','Monitor|for|sildenafil|toxicity|[|see|Pharmacokinetics|(|12.3\|)|]|.','NN|IN|NN|NN|(|VB|NNP|(|CD|)|)|.'
'Monitor renal function (in particular serum creatinine) when CIPRO XR is co-administered with cyclosporine.','Monitor|renal|function|(|in|particular|serum|creatinine|)|when|CIPRO|XR|is|co-administered|with|cyclosporine|.','NN|JJ|NN|(|IN|JJ|NN|NN|)|WRB|NN|NN|VBZ|VBN|IN|NN|.'
'Monitoring for ropinirole-related adverse reactions and appropriate dose adjustment of ropinirole is recommended during and shortly after co-administration with CIPRO XR [see Warnings and Precautions (5.15)].','Monitoring|for|ropinirole-related|adverse|reactions|and|appropriate|dose|adjustment|of|ropinirole|is|recommended|during|and|shortly|after|co-administration|with|CIPRO|XR|[|see|Warnings|and|Precautions|(|5.15|)|]|.','VBG|IN|JJ|JJ|NNS|CC|JJ|NN|NN|IN|NN|VBZ|VBN|IN|CC|RB|IN|NN|IN|NN|NN|(|VB|NNS|CC|NNS|(|CD|)|)|.'
'Non-steroidal anti-inflammatory drugs (but not acetyl salicylic acid) in combination of very high doses of quinolones have been shown to provoke convulsions in pre-clinical studies and in postmarketing. ','Non-steroidal|anti-inflammatory|drugs|(|but|not|acetyl|salicylic|acid|)|in|combination|of|very|high|doses|of|quinolones|have|been|shown|to|provoke|convulsions|in|pre-clinical|studies|and|in|postmarketing|.','JJ|JJ|NNS|(|CC|RB|VB|JJ|NN|)|IN|NN|IN|RB|JJ|NNS|IN|NNS|VBP|VBN|VBN|TO|VB|NNS|IN|JJ|NNS|CC|IN|NN|.'
"'Potential increase in the risk of methotrexate associated toxic reactions. Therefore, carefully monitor patients under methotrexate therapy when concomitant CIPRO XR therapy is indicated.'","'Potential|increase|in|the|risk|of|methotrexate|associated|toxic|reactions.|Therefore|,|carefully|monitor|patients|under|methotrexate|therapy|when|concomitant|CIPRO|XR|therapy|is|indicated|.'","'JJ|NN|IN|DT|NN|IN|NN|JJ|JJ|NN|RB|,|RB|NN|NNS|IN|NN|NN|WRB|JJ|NN|NN|NN|VBZ|VBN|.'"
'Potentiation of CIPRO XR toxicity may occur.','Potentiation|of|CIPRO|XR|toxicity|may|occur|.','NN|IN|NN|NN|NN|MD|VB|.'
'Probenecid','Probenecid','NNP'
'Table 1: Oral drugs that can be administered concomitantly with Auryxia','Table|1|:|Oral|drugs|that|can|be|administered|concomitantly|with|Auryxia','JJ|CD|:|JJ|NNS|WDT|MD|VB|VBN|RB|IN|NN'
'Table 4 Drugs Tested in Binding or Drug Interaction Testing or With Post-Marketing Reports\In Vitro\In Vivo','Table|4|Drugs|Tested|in|Binding|or|Drug|Interaction|Testing|or|With|Post-Marketing|Reports\In|Vitro\In|Vivo','JJ|CD|NNS|VBN|IN|NN|CC|NNP|NNP|NNP|CC|IN|JJ|NNP|NNP|NNP'
'Table 4 Drugs Tested in In Vitro Binding or In Vivo Drug Interaction Testing or With Post-Marketing Reports','Table|4|Drugs|Tested|in|In|Vitro|Binding|or|In|Vivo|Drug|Interaction|Testing|or|With|Post-Marketing|Reports','JJ|CD|NNS|VBN|IN|IN|NNP|NN|CC|IN|NNP|NNP|NNP|NNP|CC|IN|JJ|NNS'
"'The concomitant use of CNS depressants can increase the risk of hypotension, respiratory depression, profound sedation, coma, and death.'","'The|concomitant|use|of|CNS|depressants|can|increase|the|risk|of|hypotension|,|respiratory|depression|,|profound|sedation|,|coma|,|and|death|.'","'DT|JJ|NN|IN|NN|NNS|MD|VB|DT|NN|IN|NN|,|JJ|NN|,|JJ|NN|,|NN|,|CC|NN|.'"
"'The risk may vary with the underlying infection, age and general status of the patient so that the contribution of CIPRO XR to the increase in INR (international normalized ratio) is difficult to assess. Monitor prothrombin time and INR frequently during and shortly after co-administration of CIPRO XR with an oral anti-coagulant (for example, warfarin).'","'The|risk|may|vary|with|the|underlying|infection|,|age|and|general|status|of|the|patient|so|that|the|contribution|of|CIPRO|XR|to|the|increase|in|INR|(|international|normalized|ratio|)|is|difficult|to|assess.|Monitor|prothrombin|time|and|INR|frequently|during|and|shortly|after|co-administration|of|CIPRO|XR|with|an|oral|anti-coagulant|(|for|example|,|warfarin|)|.'","'DT|NN|MD|VB|IN|DT|VBG|NN|,|NN|CC|JJ|NN|IN|DT|NN|IN|IN|DT|NN|IN|NN|NN|TO|DT|NN|IN|NN|(|JJ|VBN|NN|)|VBZ|JJ|TO|VB|NNP|NN|NN|CC|NN|RB|IN|CC|RB|IN|NN|IN|NN|NN|IN|DT|JJ|JJ|(|IN|NN|,|NN|)|.'"
"'There have been a number of reports regarding coma and death associated with the misuse and abuse of the combination of buprenorphine and benzodiazepines. In many, but not all of these cases, buprenorphine was misused by self-injection of crushed buprenorphine tablets. Preclinical studies have shown that the combination of benzodiazepines and buprenorphine altered the usual ceiling effect on buprenorphine-induced respiratory depression, making the respiratory effects of buprenorphine appear similar to those of full opioid agonists.'","'There|have|been|a|number|of|reports|regarding|coma|and|death|associated|with|the|misuse|and|abuse|of|the|combination|of|buprenorphine|and|benzodiazepines.|In|many|,|but|not|all|of|these|cases|,|buprenorphine|was|misused|by|self-injection|of|crushed|buprenorphine|tablets.|Preclinical|studies|have|shown|that|the|combination|of|benzodiazepines|and|buprenorphine|altered|the|usual|ceiling|effect|on|buprenorphine-induced|respiratory|depression|,|making|the|respiratory|effects|of|buprenorphine|appear|similar|to|those|of|full|opioid|agonists|.'","'EX|VBP|VBN|DT|NN|IN|NNS|VBG|NN|CC|NN|VBN|IN|DT|NN|CC|NN|IN|DT|NN|IN|NN|CC|NN|IN|JJ|,|CC|RB|DT|IN|DT|NNS|,|NN|VBD|VBN|IN|NN|IN|JJ|NN|NN|JJ|NNS|VBP|VBN|IN|DT|NN|IN|NNS|CC|NN|VBD|DT|JJ|NN|NN|IN|JJ|JJ|NN|,|VBG|DT|JJ|NNS|IN|NN|VBP|JJ|TO|DT|IN|JJ|JJ|NNS|.'"
"'To avoid the loss of seizure control associated with decreased phenytoin levels and to prevent phenytoin overdose-related adverse reactions upon CIPRO XR discontinuation in patients receiving both agents, monitor phenytoin therapy, including phenytoin serum concentration during and shortly after co-administration of CIPRO XR with phenytoin.'","'To|avoid|the|loss|of|seizure|control|associated|with|decreased|phenytoin|levels|and|to|prevent|phenytoin|overdose-related|adverse|reactions|upon|CIPRO|XR|discontinuation|in|patients|receiving|both|agents|,|monitor|phenytoin|therapy|,|including|phenytoin|serum|concentration|during|and|shortly|after|co-administration|of|CIPRO|XR|with|phenytoin|.'","'TO|VB|DT|NN|IN|NN|NN|VBN|IN|VBN|NN|NNS|CC|TO|VB|NN|JJ|JJ|NNS|IN|NN|NN|NN|IN|NNS|VBG|DT|NNS|,|NN|NN|NN|,|VBG|NN|NN|NN|IN|CC|RB|IN|NN|IN|NN|NN|IN|NN|.'"
'Use with caution\(Increase in anticoagulant effect)','Use|with|caution\|(|Increase|in|anticoagulant|effect|)','NN|IN|NN|(|NN|IN|JJ|NN|)'
'Use with caution\(interferes with renal tubular secretion of CIPRO XR and increases CIPRO XR serum levels)','Use|with|caution\|(|interferes|with|renal|tubular|secretion|of|CIPRO|XR|and|increases|CIPRO|XR|serum|levels|)','NN|IN|NN|(|VBZ|IN|JJ|JJ|NN|IN|NN|NN|CC|VBZ|NN|NN|NN|NNS|)'
'Use with caution\(transient elevations in serum creatinine)','Use|with|caution\|(|transient|elevations|in|serum|creatinine|)','NN|IN|NN|(|JJ|NNS|IN|NN|NN|)'
'Use with caution\Altered serum levels of phenytoin (increased and decreased)','Use|with|caution\Altered|serum|levels|of|phenytoin|(|increased|and|decreased|)','NN|IN|JJ|NN|NNS|IN|NN|(|VBN|CC|VBN|)'
'Use with caution\Glucose-lowering effect potentiated','Use|with|caution\Glucose-lowering|effect|potentiated','NN|IN|JJ|NN|VBD'
'Use with caution\Inhibition of methotrexate renal tubular transport potentially leading to increased methotrexate plasma levels ','Use|with|caution\Inhibition|of|methotrexate|renal|tubular|transport|potentially|leading|to|increased|methotrexate|plasma|levels','NN|IN|NN|IN|NN|JJ|JJ|NN|RB|VBG|TO|VBN|NN|NN|NNS'
'Use with caution\Reduced clearance resulting in elevated levels and prolongation of serum half-life','Use|with|caution\Reduced|clearance|resulting|in|elevated|levels|and|prolongation|of|serum|half-life','NN|IN|VBN|NN|VBG|IN|VBN|NNS|CC|NN|IN|NN|NN'
'Use with caution\Two-fold increase in exposure','Use|with|caution\Two-fold|increase|in|exposure','NN|IN|JJ|NN|IN|NN'
'na','na','NN'
'826','826','CD'
"' Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)'","'Drug|Interactions|Associated|with|Increased|Risk|of|Myopathy/Rhabdomyolysis|(|2.6|,|5.1|,|7|,|12.3|)'","'NN|NNS|VBN|IN|VBN|NN|IN|NN|(|CD|,|CD|,|CD|,|CD|)'"
'* The interaction between nevirapine and the drug was evaluated in a clinical study. All other drug interactions shown are predicted.','*|The|interaction|between|nevirapine|and|the|drug|was|evaluated|in|a|clinical|study.|All|other|drug|interactions|shown|are|predicted|.','SYM|DT|NN|IN|NN|CC|DT|NN|VBD|VBN|IN|DT|JJ|NN|DT|JJ|NN|NNS|VBN|VBP|VBN|.'
'-','-','HYPH'
'0.51','0.51','CD'
'0.51','0.51','CD'
'0.51','0.51','CD'
'0.51','0.51','CD'
'0.55','0.55','CD'
'0.55','0.55','CD'
'0.55','0.55','CD'
'0.55','0.55','CD'
'0.94','0.94','CD'
'0.94','0.94','CD'
'0.94','0.94','CD'
'0.94','0.94','CD'
'1.1','1.1','CD'
'1.1','1.1','CD'
'1.1','1.1','CD'
'1.1','1.1','CD'
'1.2','1.2','CD'
'1.2','1.2','CD'
'1.2','1.2','CD'
'1.2','1.2','CD'
'1.3','1.3','CD'
'1.3','1.3','CD'
'1.3','1.3','CD'
'1.3','1.3','CD'
'1.3','1.3','CD'
'1.4','1.4','CD'
'1.4','1.4','CD'
'1.4','1.4','CD'
'1.4','1.4','CD'
'1.4','1.4','CD'
'1.4','1.4','CD'
'1.4','1.4','CD'
'1.4','1.4','CD'
'1.4','1.4','CD'
'1.5','1.5','CD'
'1.5','1.5','CD'
'1.5','1.5','CD'
'1.5','1.5','CD'
'1.5','1.5','CD'
'1.6','1.6','CD'
'1.6','1.6','CD'
'1.6','1.6','CD'
'1.6','1.6','CD'
'1.8','1.8','CD'
'1.8','1.8','CD'
'1.8','1.8','CD'
'1.8','1.8','CD'
'10mg/day','10mg/day','LS'
'10mg/day','10mg/day','LS'
'10mg/day','10mg/day','LS'
'10mg/day','10mg/day','LS'
'10mg/day','10mg/day','LS'
'150mgtwicedaily','150mgtwicedaily','RB'
'150mgtwicedaily','150mgtwicedaily','RB'
'150mgtwicedaily','150mgtwicedaily','RB'
'150mgtwicedaily','150mgtwicedaily','RB'
'1mgsingledose','1mgsingledose','LS'
'1mgsingledose','1mgsingledose','LS'
'1mgsingledose','1mgsingledose','LS'
'1mgsingledose','1mgsingledose','LS'
'20mg/day','20mg/day','LS'
'20mg/day','20mg/day','LS'
'20mg/day','20mg/day','LS'
'20mg/day','20mg/day','LS'
'20mg/day','20mg/day','LS'
'2or3mgtwicedaily','2or3mgtwicedaily','RB'
'2or3mgtwice daily','2or3mgtwice|daily','RB|RB'
'2or3mgtwicedaily','2or3mgtwicedaily','RB'
'2or3mgtwicedaily','2or3mgtwicedaily','RB'
'2or3mgtwicedaily','2or3mgtwicedaily','RB'
'3mgtwicedaily','3mgtwicedaily','RB'
'3mgtwicedaily','3mgtwicedaily','RB'
'3mgtwicedaily','3mgtwicedaily','RB'
'3mgtwicedaily','3mgtwicedaily','RB'
'400mgtwicedaily','400mgtwicedaily','RB'
'400mgtwicedaily','400mgtwicedaily','RB'
'400mgtwicedaily','400mgtwicedaily','RB'
'400mgtwicedaily','400mgtwicedaily','RB'
'40mg/day','40mg/day','LS'
'40mg/day','40mg/day','LS'
'40mg/day','40mg/day','LS'
'40mg/day','40mg/day','LS'
'4mg/day','4mg/day','LS'
'4mg/day','4mg/day','LS'
'4mg/day','4mg/day','LS'
'4mg/day','4mg/day','LS'
'4mg/day','4mg/day','LS'
'5-Fluorouracil','5-Fluorouracil','NN'
'500mgfourtimesdaily','500mgfourtimesdaily','RB'
'500mgfourtimes daily','500mgfourtimes|daily','NNS|RB'
'500mgfourtimesdaily','500mgfourtimesdaily','RB'
'500mgfourtimesdaily','500mgfourtimesdaily','RB'
'573æ±168mg/day','573æ±168mg/day','LS'
'573æ±168mg/day','573æ±168mg/day','LS'
'573æ±168mg/day','573æ±168mg/day','LS'
'573æ±168mg/day','573æ±168mg/day','LS'
'? Atazanavir? Nevirapine ','?|Atazanavir|?|Nevirapine','.|NNP|.|NNP'
'? Indinavir ','?|Indinavir','.|NNP'
'? lamotrigine','?|lamotrigine','.|NN'
'? lamotrigine? carbamazepine epoxide','?|lamotrigine|?|carbamazepine|epoxide','.|NN|.|NN|NN'
'? lamotrigine? levonorgestrel','?|lamotrigine|?|levonorgestrel','.|NN|.|NN'
'? Lopinavir ','?|Lopinavir','.|NNP'
'?Amprenavir ?Nevirapine ?Amprenavir ?Nevirapine ','?|Amprenavir|?|Nevirapine|?|Amprenavir|?|Nevirapine','.|NNP|.|NNP|.|NNP|.|NNP'
'?Efavirenz','?|Efavirenz','.|NNP'
'?Nelfinavir M8 Metabolite?Nelfinavir Cmin','?|Nelfinavir|M8|Metabolite|?|Nelfinavir|Cmin','.|NNP|NNP|NNP|.|NNP|NNP'
'Addition of carbamazepine decreases lamotrigine concentration approximately 40%.May increase carbamazepine epoxide levels.','Addition|of|carbamazepine|decreases|lamotrigine|concentration|approximately|40|%|.May|increase|carbamazepine|epoxide|levels|.','NN|IN|NN|VBZ|NN|NN|RB|CD|NN|NN|VBP|NN|NN|NNS|.'
"'Addition of levothyroxine to antidiabetic or insulin therapy may result in increased antidiabetic agent or insulin requirements.Careful monitoring of diabetic control is recommended, especially when thyroid therapy is started, changed, or discontinued.'","'Addition|of|levothyroxine|to|antidiabetic|or|insulin|therapy|may|result|in|increased|antidiabetic|agent|or|insulin|requirements.Careful|monitoring|of|diabetic|control|is|recommended|,|especially|when|thyroid|therapy|is|started|,|changed|,|or|discontinued|.'","'NN|IN|NN|TO|JJ|CC|NN|NN|MD|VB|IN|VBN|JJ|NN|CC|NN|JJ|NN|IN|JJ|NN|VBZ|VBN|,|RB|WRB|JJ|NN|VBZ|VBN|,|VBN|,|CC|VBN|.'"
"'Addition of levothyroxine to antidiabetic or insulin therapy may result in increased antidiabetic agent or insulin requirements. Careful monitoring of diabetic control is recommended, especially when thyroid therapy is started, changed, or discontinued.'","'Addition|of|levothyroxine|to|antidiabetic|or|insulin|therapy|may|result|in|increased|antidiabetic|agent|or|insulin|requirements.|Careful|monitoring|of|diabetic|control|is|recommended|,|especially|when|thyroid|therapy|is|started|,|changed|,|or|discontinued|.'","'NN|IN|NN|TO|JJ|CC|NN|NN|MD|VB|IN|VBN|JJ|NN|CC|NN|VBP|JJ|NN|IN|JJ|NN|VBZ|VBN|,|RB|WRB|JJ|NN|VBZ|VBN|,|VBN|,|CC|VBN|.'"
